id,title,default_price,default_unite
135,ROND HLE BARRE 10MMFE500,0,
156,travaux de faraiage ,0,
163,SABLE LAVE,154.17,M3 - Mètre Cube
164,GRAVILLONS G1,40,
165,GRAVILLONS G2,35,M3 - Mètre Cube
166,GNB,35,
168,MOELLON (GALLE),0,
170,CIMENT 45/SAC,66.6667,SAC 
172,CLOU 6-10,12,
174,GRAISSE ,36.57,Kg - Kilogramme
175,PLATRE,1.6667,KG
176,CORDEAU NYLON (LOUTRA),16.67,Rlx - Rouleau
177,MANCHE DE PIOCHE(MANGO),30,U - Unité
178,LAQUE BLEU,0,
179,LAQUE BLANC,0,
180,"TEINTE A L'HUILE",20,
181,SCOTCH,6.6667,U - Unité
182,ESSENCE 5L,62.5,U - Unité
184,PINCEAU PLAT PEINTURE ,16.6667,Unité
185,ROULEAU ROD PEINTURE,0,
186,ROULEAU PEINTURE,20.83,Rlx - Rouleau
187,CAOUTCHOUC 30KG BLANC,450,
188,CAOUTCHOUC 30KG ,480,
189,PINCEAU ROND PEINTURE,4,
190,PORTE CLEF,0,
191,LAMPE,14,Unité
192,CLOU,12,
193,DEMI CYLINDRE (CANE),0,
194,"TEINTE A L'EAU CREME",10,Unité
195,SIPHON,34,
196,COUDE 48/100,0,
197,COLLE 0.5P,60,
198,SIEGE A LA TURQUE,0,
199,PINCEAU PEINTURE N?12,0,
200,TABLEAU ,29.1666,U - Unité
201,PRISE SIMPLE (prise 2P GALAXY LAP),12,Unité
202,ACCESSOIRE CASTRIE,0,
203,INTERRUPTEUR,54.17,U - Unité
204,PAUMELLE 120/16,8.3333,Unité
205,SERRURE,0,
206,TOUT VENANT GNB,0,
211,CADNAS,100,U - Unité
214,FIL,7.9166,Kg - Kilogramme
215,ACIER T8,5.91667,Kg - Kilogramme
216,ACIER T14,5.91667,Kg - Kilogramme
217,BALAI,41.6667,Unité
218,"FER T14,T10",0,
219,SEAU PLASTIQUE,16.666,U - Unité
220,ACIER  T6,6.21,Kg - Kilogramme
221,PEINTURE ROUGE,40,
222,CLE MOLETTE,20.83,U - Unité
223,CLE MOLETTE 6-8,0,
224,CLE MOLETTE 10-8,0,
225,TOUT VENANT  G40,0,
226,G0,60,M3 - Mètre Cube
227,PNEU DE BROUETTE,100,U - Unité
228,ACIER  T10,5.91667,Kg - Kilogramme
229,PVC 200,56.6667,M-Mètre
230,COLLE PVC 500g,70.83,Kg - Kilogramme
231,BITUME,12.5,Kg - Kilogramme
232,CHARGE,0.41666, F-FORFAIT
234,ACIER  T16,5.91667,Kg - Kilogramme
235,TRUELLE DE MA?ON,25,
236,MARTEAU,12.5,U - Unité
237,FER T14-T16,0,
239,AGGLOS 15/50,4.8,U - Unité
244,GRAVETTE 20M (37403-A-33),1300,M-Mètre
245,ROULEAU BITUME 36/S/20M,0,
246,ACIER T12,5.91667,Kg - Kilogramme
247,REDUCTION  1/4,40,
248,REDUCTION PLASTIQUE 1,0,
249,REDUCTION PLASTIQUE 3/4,0,
250,TEFLON ,20.8333,Unité
251,RACCORD,41.67,U - Unité
252,VAN ,20.83,U - Unité
253,MAMELON PVC,0,
254,B25 D25 S2 D350KG,0,
255,B25 XCA2 D25 S2,0,
256,"citirne d'eux",0,
257,AGGLOS 7/50,0,
258,"FER T8,T14",6,
259,HOURDIS 25*20*50,7.4,U - Unité
260,POUTRELLE 113,0,
261,P.T.S (TREILLIS SOUDE) ,70,
262,AGGLOS 25/50,6.67,U - Unité
263,AGGLOS 20*50,6.2,U - Unité
265,SERRE-JOINT,25,U - Unité
266,Le Polystere (lfarchi),10,Plq - Plaque
267,MASSE 1 KG,0,
268,AGGLOS 10/50,4.2,U - Unité
269,TUYAU,9,M-Mètre
270,CABLE ARME,28,
271,ROBINET GROHE,400,U
